"lakecode","lakename","lakeorriver","season","iceon_year","iceon_month","iceon_day","iceoff_year","iceoff_month","iceoff_day","duration","latitude","longitude","country","froze","comments","rule_year"
"ARAI1","LAKE SUWA","L","1443-44",1443,12,8,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1443
"ARAI1","LAKE SUWA","L","1444-45",1444,11,23,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1444
"ARAI1","LAKE SUWA","L","1445-46",1445,12,1,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1445
"ARAI1","LAKE SUWA","L","1446-47",1446,12,2,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1446
"ARAI1","LAKE SUWA","L","1447-48",1447,11,30,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1447
"ARAI1","LAKE SUWA","L","1448-49",1448,12,8,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1448
"ARAI1","LAKE SUWA","L","1449-50",1449,12,13,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1449
"ARAI1","LAKE SUWA","L","1450-51",1450,12,8,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1450
"ARAI1","LAKE SUWA","L","1451-52",1451,12,23,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1451
"ARAI1","LAKE SUWA","L","1452-53",1452,11,28,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1452
"ARAI1","LAKE SUWA","L","1453-54",1453,12,3,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1453
"ARAI1","LAKE SUWA","L","1454-55",1454,12,5,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1454
"ARAI1","LAKE SUWA","L","1455-56",1455,12,1,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1455
"ARAI1","LAKE SUWA","L","1456-57",1456,12,5,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1456
"ARAI1","LAKE SUWA","L","1458-59",1458,12,6,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1458
"ARAI1","LAKE SUWA","L","1459-60",1459,11,20,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1459
"ARAI1","LAKE SUWA","L","1460-61",1460,12,10,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1460
"ARAI1","LAKE SUWA","L","1461-62",1461,12,15,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1461
"ARAI1","LAKE SUWA","L","1462-63",1462,11,29,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1462
"ARAI1","LAKE SUWA","L","1463-64",1463,12,10,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1463
"ARAI1","LAKE SUWA","L","1464-65",1464,12,11,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1464
"ARAI1","LAKE SUWA","L","1465-66",1465,11,11,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1465
"ARAI1","LAKE SUWA","L","1466-67",1466,12,21,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1466
"ARAI1","LAKE SUWA","L","1467-68",1467,12,12,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1467
"ARAI1","LAKE SUWA","L","1468-69",1468,12,11,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1468
"ARAI1","LAKE SUWA","L","1469-70",1470,1,3,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1469
"ARAI1","LAKE SUWA","L","1470-71",1470,11,26,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1470
"ARAI1","LAKE SUWA","L","1471-72",1471,11,22,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1471
"ARAI1","LAKE SUWA","L","1472-73",1472,11,24,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1472
"ARAI1","LAKE SUWA","L","1473-74",1473,12,4,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1473
"ARAI1","LAKE SUWA","L","1474-75",1474,12,2,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1474
"ARAI1","LAKE SUWA","L","1475-76",1475,12,1,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1475
"ARAI1","LAKE SUWA","L","1476-77",1476,12,7,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1476
"ARAI1","LAKE SUWA","L","1477-78",1477,12,18,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1477
"ARAI1","LAKE SUWA","L","1478-79",1478,12,17,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1478
"ARAI1","LAKE SUWA","L","1479-80",1479,12,6,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1479
"ARAI1","LAKE SUWA","L","1480-81",1480,12,4,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1480
"ARAI1","LAKE SUWA","L","1481-82",1481,12,16,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1481
"ARAI1","LAKE SUWA","L","1482-83",1482,12,25,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1482
"ARAI1","LAKE SUWA","L","1483-84",1483,12,1,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1483
"ARAI1","LAKE SUWA","L","1484-85",1484,12,2,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1484
"ARAI1","LAKE SUWA","L","1485-86",1485,12,11,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1485
"ARAI1","LAKE SUWA","L","1486-87",1486,12,12,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1486
"ARAI1","LAKE SUWA","L","1487-88",1488,1,6,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1487
"ARAI1","LAKE SUWA","L","1488-89",1488,12,21,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1488
"ARAI1","LAKE SUWA","L","1489-90",1489,11,24,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1489
"ARAI1","LAKE SUWA","L","1490-91",1491,1,10,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1490
"ARAI1","LAKE SUWA","L","1491-92",1491,12,6,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1491
"ARAI1","LAKE SUWA","L","1492-93",1492,12,2,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1492
"ARAI1","LAKE SUWA","L","1493-94",1493,12,6,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1493
"ARAI1","LAKE SUWA","L","1494-95",1494,12,9,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1494
"ARAI1","LAKE SUWA","L","1495-96",1495,12,4,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1495
"ARAI1","LAKE SUWA","L","1496-97",1496,12,23,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1496
"ARAI1","LAKE SUWA","L","1497-98",1497,11,11,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1497
"ARAI1","LAKE SUWA","L","1498-99",1498,12,14,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1498
"ARAI1","LAKE SUWA","L","1499-00",1499,11,18,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1499
"ARAI1","LAKE SUWA","L","1500-01",1500,11,27,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1500
"ARAI1","LAKE SUWA","L","1501-02",1501,12,16,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1501
"ARAI1","LAKE SUWA","L","1502-03",1502,12,12,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1502
"ARAI1","LAKE SUWA","L","1503-04",1503,11,15,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1503
"ARAI1","LAKE SUWA","L","1504-05",1504,12,1,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1504
"ARAI1","LAKE SUWA","L","1506-07",1506,11,20,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1506
"ARAI1","LAKE SUWA","L","1515-16",1515,12,2,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1515
"ARAI1","LAKE SUWA","L","1516-17",1516,12,6,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1516
"ARAI1","LAKE SUWA","L","1517-18",1518,1,6,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1517
"ARAI1","LAKE SUWA","L","1518-19",1518,11,29,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1518
"ARAI1","LAKE SUWA","L","1519-20",1519,12,4,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1519
"ARAI1","LAKE SUWA","L","1520-21",1520,12,15,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1520
"ARAI1","LAKE SUWA","L","1521-22",1521,12,27,-999,-999,-999,-999,36.15,138.08,"JAPAN","Y","calendar correction for ice_on: -30 days of original data; applied on 1 February 2012",1521
